gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,player_numeric
2267,2836,2156,1262,572,33,335,1214,620,112,2639,85,.301,8773,.351,.488,.839,38,51,.573,286,33054,9550,4282,1306,3756,10,62,.316,1.32,0,26.19,478080.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692608.0
300,20,3,6,0,0,1,20,2,0,8,0,.167,48,.200,.229,.429,0,0,0,0,174,53,11,2,30,3,0,.259,6.67,0,48.00,318528.0
1048,695,1055,599,234,21,187,1161,469,5,916,51,.241,3801,.330,.461,.791,15,29,.659,64,18292,4347,1753,520,1653,0,26,.294,0.66,0,20.33,371648.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159744.0
487,605,384,207,93,9,43,311,87,5,470,1,.268,1754,.301,.405,.706,16,38,.704,39,6537,1858,710,210,722,2,14,.302,1.58,0,40.79,532096.0
267,227,182,140,51,7,47,344,99,8,248,5,.250,993,.319,.457,.776,5,46,.902,12,4401,1105,454,150,437,0,8,.330,1.25,0,21.13,673664.0
779,900,644,402,162,6,78,481,358,9,807,24,.287,2815,.370,.432,.802,7,9,.563,79,12488,3214,1215,352,1046,0,17,.321,1.40,0,36.09,348544.0
303,226,306,94,33,4,16,101,34,1,204,7,.248,824,.282,.356,.638,6,14,.700,19,2874,878,293,81,382,8,5,.264,0.74,0,51.50,968512.0
2797,2632,2553,1551,627,17,511,2105,1258,238,3174,74,.306,10356,.382,.518,.900,21,40,.656,364,44444,11796,5368,1881,4207,5,103,.340,1.03,0,20.27,306176.0
141,117,121,32,21,0,7,99,33,3,97,5,.226,430,.286,.323,.609,1,1,.500,10,1722,472,139,38,206,0,4,.274,0.97,0,61.43,628096.0
228,191,159,93,27,2,37,200,66,0,155,8,.221,702,.294,.423,.717,1,3,.750,22,3012,779,297,111,360,0,3,.252,1.20,0,18.97,92608.0
486,381,407,193,83,10,37,409,159,3,365,30,.237,1542,.316,.375,.691,5,13,.722,20,7174,1752,579,176,656,1,20,.294,0.94,0,41.68,203968.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918528.0
46,15,32,12,6,0,5,53,11,0,25,3,.200,125,.281,.368,.649,0,2,1.000,1,551,139,46,13,57,0,0,.299,0.47,0,25.00,204160.0
894,833,805,374,158,6,123,690,239,9,757,38,.247,3061,.308,.423,.731,1,3,.750,90,12752,3362,1296,439,1419,3,21,.279,1.03,0,24.89,704384.0
323,0,2,0,0,0,0,4,0,0,0,0,.000,6,.000,.000,.000,0,0,0,0,22,6,0,0,6,0,0,.000,0.00,0,0,508608.0
188,175,120,64,18,1,16,178,50,1,128,4,.214,598,.279,.328,.607,0,3,1.000,13,2568,660,196,59,286,2,1,.277,1.46,5,37.38,748288.0
137,50,15,11,0,0,2,94,9,0,15,1,.095,158,.149,.133,.282,0,0,0,3,672,184,21,5,87,16,0,.210,3.33,0,79.00,853312.0
133,4,0,0,0,0,0,2,0,0,1,0,.143,7,.143,.143,.286,0,0,0,0,32,7,1,0,0,0,0,.200,4.00,0,0,784000.0
8,1,0,0,0,0,0,1,0,0,1,0,.333,3,.333,.333,.666,0,0,0,0,9,3,1,0,1,0,0,.500,1.00,0,0,435264.0
923,1016,942,364,163,4,130,569,221,39,809,16,.244,3309,.293,.414,.707,1,5,.833,106,12965,3573,1370,467,1463,0,27,.257,1.08,0,25.45,353728.0
238,34,4,7,0,0,0,66,7,0,12,0,.109,110,.161,.109,.270,0,0,0,1,510,123,12,4,56,5,1,.267,8.50,0,0,543744.0
52,9,0,0,1,0,0,29,1,0,2,0,.054,37,.079,.081,.160,0,0,0,0,146,41,3,0,28,3,0,.250,9.00,0,0,101184.0
199,171,148,72,24,1,16,127,38,1,161,4,.269,599,.314,.392,.706,1,2,.667,21,2552,649,235,71,256,2,6,.314,1.16,0,37.44,965888.0
29,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274688.0
369,316,423,140,57,5,42,194,103,2,293,10,.241,1217,.303,.399,.702,3,0,.000,23,4991,1339,486,140,481,0,9,.254,0.75,0,28.98,694400.0
30,3,0,1,0,0,0,1,0,0,1,1,.200,5,.333,.200,.533,0,0,0,0,22,6,1,0,2,0,0,.250,3.00,0,0,769792.0
183,6,3,2,0,0,1,12,0,0,7,0,.259,27,.259,.370,.629,0,0,0,0,103,28,10,2,18,1,0,.429,2.00,0,27.00,905664.0
55,0,0,0,0,0,0,1,0,0,0,0,.000,1,.000,.000,.000,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,710208.0
595,447,541,258,108,27,73,621,193,2,498,15,.238,2093,.305,.420,.725,12,19,.613,50,8946,2315,879,235,978,0,14,.301,0.83,0,28.67,140864.0
277,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79872.0
